"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1282","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-594","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1300","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1302","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1305","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","NK3B98","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1316","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","UMGS1688","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1322","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1343","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","UBA1191","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1344","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-460","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1352","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1371","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1391","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-594","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1392","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1402","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","HGM13634","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1509","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1681","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1701","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-451","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.262","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-138","UBA5394","UBA5394_sp003150565"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.284","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.307","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_G","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.312","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.313","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Massilicoli","Massilicoli_timonensis"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.329","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.330","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.360","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.379","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UMGS599","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.404","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","QAMH01","QAMH01","QAMH01_sp900556425"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.405","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","UMGS1004_sp900548845"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.414","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.422","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA5446","UBA5446_sp900759385"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.431","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.441","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.481","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_sp900021155"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.494","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","RUG678","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.497","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.506","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","UMGS1670","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.509","Bacteria","Firmicutes_A","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.512","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.515","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-465","CAG-465","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.536","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_sp002161285"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.548","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UMGS1872","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.563","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Acutalibacter_sp900543555"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.568","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","SCN-57-10","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.580","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.590","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.600","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.618","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Unidentified","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.655","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-460","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.657","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.661","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.678","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UBA1417","UBA1417_sp900552925"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.682","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.694","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_B","Lachnoclostridium_B_phocaeensis"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.704","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.706","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Merdimonas","Merdimonas_faecis"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.721","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UMGS966","UMGS966_sp900547185"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.730","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.732","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.745","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","Eisenbergiella_sp003343625"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.758","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Sellimonas","Sellimonas_sp002161525"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.766","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UBA1417","UBA1417_sp900552925"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.772","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_I","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.775","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_A","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.779","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","HGM11575","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.780","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.785","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosacchariphilus","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.796","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.803","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Massilistercora","Massilistercora_timonensis"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.810","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.826","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA5446","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.832","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.836","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA5446","UBA5446_sp004553625"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.844","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_communis"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.849","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.852","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.860","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Unidentified","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.862","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster_sp900547035"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.864","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.881","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_A","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.895","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Evtepia","Evtepia_sp900546255"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.905","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-877","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.908","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Sellimonas","Sellimonas_sp002159995"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.921","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.961","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.962","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter","Gordonibacter_pamelaeae"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.974","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.977","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Rectum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.981","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_sp002161285"
